照片,該照片的文字敘述
文件二_第53頁,這是一張正式發布「東吳大學114學年度碩士在職專班招生考試錄取名單」的官方榜單公文海報。版面採用莊嚴素雅的白底藍框設計，頂部印有巨量資料管理學院與資料科學系的官方Logo。海報大字宣告學系名稱為「資料科學系碩士在職專班」，並自豪標註【正取共48名，備取共0名】的全額滿招盛況。下方以整齊嚴謹的雙欄對齊排版，逐一列出48位準研究生的准考證號與去識別化姓名（如黃○芬、伍○瑋、戎○甫、蘇○傑、林○倫等），右下角特別蓋有一枚鮮紅巨大的金色桂冠「賀」字印章。整張公文榜單不僅是對48位各界職場菁英成功重返校園進修的最高肯定，也向外界展現出該碩專班在業界極受推崇、招生年年爆滿的卓越口碑。
文件二_第54頁,這是一張專為查詢「114學年度資料科學系碩士在職專班錄取名單」所發布的官方導引圖卡。版面設計極其簡潔大器，採用清爽的白底搭配天藍色圓角邊框，頂部右側印有巨資學院資料科學系的官方雙標誌。海報上方以醒目的黑色粗體大字宣告主旨：「公告114學年度資料科學系碩士在職專班錄取名單」，中央正中位置擺放了一個超大尺寸、高解析度的黑白 QR Code 矩陣碼，下方並完整附上了相對應的官方縮址連結（https://reurl.cc/vQ3gGk）。整張圖卡以最高效率的資訊傳播為考量，讓所有焦急等候放榜的職場考生只要拿起手機輕輕一掃，便能立刻跳轉至教務處招生系統下載完整高畫質的正式錄取榜單公文PDF檔。
文件二_第55頁,這是一張針對114學年度碩專班錄取生所製作的「碩士在職專班招生考試重要日程表」官方公告公文。上方標明主旨，表格詳細劃分正取生與備取生之兩階段驗證報到規範：正取生報到採一階段辦理，必須於114年4月21、22日親自至現場辦理入學驗證報到，4月23日15:00起於網頁公告缺額一覽表；備取生報到則嚴格劃分為二階段辦理：第一階段為「備取生網路登記就讀意願」，時間自114年4月24日10:00起至4月28日17:00止；第二階段為「備取生現場入學驗證報到」，於5月1日至5月4日公告遞補名單，5月5日辦理現場驗證，5月9日開放查詢遞補狀況。公文下方特別附有詳細內容查詢之官方連結，條文規範嚴密清晰。
文件二_第56頁,這是一張正式發布給考生的「東吳大學114學年度招生委員會通知（錄取通知公文範本）」。公文受文者為錄取同學，主旨明確宣告「通知錄取」，說明段詳細規範各項報到細則：錄取生應於114年4月21、22日擇一，於晚間18:00至21:00親自或委託他人辦理入學驗證報到手續；報到地點精確指定於台北市中正區貴陽街一段56號東吳大學城中校區鑄秋大樓一樓2123會議室；報到時必須繳驗中文學位證書正本及影本各1份、國民身分證正本及正反面影本各1份、二吋正面彩色脫帽證件照片1張（背面書寫姓名與報考組別以備製發學生證）。公文末端嚴正註明若經查驗資格不符或逾期未辦理報到者，將取消錄取資格並由備取生依序遞補，權威性十足。
文件二_第57頁,這是一張正式發布「東吳大學114學年度碩士班招生考試錄取名單」的官方喜慶榜單。海報採用清新明亮的天藍色圓角邊框，上方印有巨資學院資料科學系的聯合品牌標誌，大字宣告錄取系所為「資料科學系碩士班一般生」，並標示【正取共5名，備取共8名】。下方詳細列出正取5名優秀考生的准考證號與去識別化姓名（翁○蓁、張○涵、胡○華、李○邑、蔡○函），以及備取8位同學的完整排位名單（游○筠、巫○賀、吳○其、陳○穎等）。右下角點綴著一個繽紛彩紙飛揚的立體手繪派對拉炮插圖，營造出濃郁的歡慶氛圍，向所有歷經嚴格審查與激烈面試後脫穎而出的準碩士研究生表達最熱烈的祝賀之意。
文件二_第58頁,這是一張專為查詢「114學年度資料科學系碩士班一般生考試錄取名單」所設計的官方查詢入口圖卡。版面以清爽乾淨的純白為底，上方以加粗的黑體字大標題宣告：「公告114學年度資料科學系碩士班考試錄取名單」，中央引述了東吳大學招生資訊網的正式公告標題與正取生附件說明PDF連結名稱。畫面正中央配置了一個極為清晰的大尺寸 QR Code 矩陣碼，底端並附上簡短便利的官方短網址（https://reurl.cc/j9M1Mm）。這張圖卡專為社群快速轉發而設計，旨在讓所有報考一般生碩士班的考生能在放榜第一時間，透過手機掃碼或點擊連結直接查閱教務處正式核定之錄取榜單與初試合格名冊。
文件二_第59頁,這是一張針對114學年度碩士班一般生備取生所發布的「碩士班備取生報到重要日程及行事曆」官方須知公文。右上角貼有綠色「碩士班備取生附件」標籤。表格詳細列出報到日程：114年4月8日至4月11日辦理正備取生網路登記就讀意願；4月17日15:00起公告正取生報到後缺額一覽表；4月18日至4月21日備取生查詢遞補名單並上傳就讀意願暨通訊報到同意書與學歷證件；4月28日開放查詢遞補狀況；5月23日前上傳已取得學士學位之證件，應屆畢業生則寬限至7月31日前補上傳。下方文字嚴正強調備取生報到採三階段辦理，必須於規定時間內依序完成網路登記、順序查詢上傳同意書及現場驗證，始能取得正式入學許可，並附上查詢網址。
文件二_第60頁,這是一張針對114學年度碩士班一般生正取生所發布的「碩士班正取生報到重要日程及行事曆」官方規範公文。右上角貼有綠色「碩士班正取生附件」標籤。表格清晰條列各階段報到死線：114年4月8日至4月11日必須完成正備取生網路登記就讀意願，並同步上傳「就讀意願暨通訊報到同意書」、學歷證件及照片；4月16日13:00起網頁公告正取生「完成通訊報到確認名單」；已取得學位者於5月23日前上傳學士學位證書，應屆畢業生則於7月31日前完成學歷證件補傳。下方詳細說明正取生報到分三階段辦理，最後必須到校查驗學歷證件及國民身分證正本，全部完成後始取得正式入學許可，附有教務處官方查詢網址。
文件二_第61頁,這是一張針對大學個人申請二階甄試考生所製作的「面試的重點提醒」官方心法圖卡，標題題寫為「大學個人申請最後關鍵戰！」。頂部繪有面試官與學生對談的插圖，下方以五顆紅色愛心打勾圖示列出五大核心重點提醒：第一、務必提前準備好簡潔有力的自我介紹與真實的就讀動機；第二、學會放鬆心情，可透過深呼吸或正向自我暗示來緩解緊張情緒；第三、高度注意進出場時的禮貌與儀態；第四、在面試作答全程中保持端正的坐姿與眼神交流；第五、務必聽清楚教授的提問核心，在腦中短暫思考、組織邏輯後再從容回應。底端以金色字體題寫「祝 金榜題名」，右下角印有系徽，給予考生最實用的考場心理建設。
文件二_第62頁,這張圖卡是個人申請面試指南系列中的「出發前的準備」篇，旨在提醒考生在面試當天清晨出發前應注意的細節。頂部繪有一家三口整裝出發的可愛插畫，下方以四顆紅色愛心圖示列出四項關鍵確認清單：第1點、確認自己到達面試地點（外雙溪哲生樓）的交通方式與行車時間，務必將路況與塞車風險納入考量；第2點、再次確認自己的服裝儀容是否維持舒適、乾淨、整潔與得體，避免穿著不合身的新鞋；第3點、出門前再次仔細檢查應攜帶的身分證件正本（身分證或健保卡）是否齊全；第4點、確認系所排定的精確報到時間，強烈建議考生至少提前半小時抵達考場，以利熟悉環境並平復心情。底端同樣送上「祝 金榜題名」的誠摯祝福。
文件二_第63頁,這是一張以立體發光小黃鈴鐺為視覺象徵的面試指南圖卡，標題為「大學個人申請最後關鍵戰！PART 1 資料蒐集篇」。鈴鐺上標有數字「1」，下方以四顆紅色愛心打勾符號詳細列出考生在面試前必須做足的資料蒐集功課：第一項為「目標學校資料」，包括深入瀏覽學校官方網站、了解創校精神與學長姊評價情報；第二項為「目標科系資料」，務必摸透資料科學系的四大模組課程規劃、實作特色與學習資源；第三項為「自己的備審資料」，必須對自己上傳的所有多元表現與學習歷程檔案瞭若指掌，並著重強調當初撰寫的就讀動機；第四項為「時事資料」，建議密切關注近期AI、大數據與數位轉型的重大科技新聞，做好全方位應對準備。
文件二_第64頁,這張圖卡是面試指南系列的「PART 2 肢體語言篇」，頂部繪有標記數字「2」的立體發光小鈴鐺。下方以五顆紅色愛心打勾圖示，極其細緻地指導考生在口試考場內的肢體動作規範：第一、出發前對著鏡子多加練習面部表情、微表情以及講話時的自然手勢；第二、在與評審教授對話時，注意維持「堅定真誠」的眼神接觸，絕對要避免眼神飄忽不定；第三、全程保持自然微笑，做好微表情管理；第四、坐姿必須維持端正，雙腳自然併攏、挺胸，坐滿椅子的三分之一或二分之一處；第五、注意手勢擺放，嚴格禁止轉筆、摳玩指甲、撥弄頭髮或托腮等容易扣分的不良小習慣，展現自信沉穩的大將之風。
文件二_第65頁,這是一張面試指南系列的「PART 3 口語表達篇」教學圖卡，頂部展示著標記數字「3」的立體小鈴鐺。下方以五顆紅色愛心打勾圖示，深入剖析在口試委員面前開口表達的高分技巧：第一、說話時務必維持適當的音量、沉穩的語調與均勻的語速，不可過快或過慢；第二、針對教授拋出的問題核心，給予說明完整且架構簡潔的回答，強烈建議採用條理分明的「條列式（如：第一點、第二點）」回答架構；第三、講話口齒清晰，盡量保持語言流利連貫；第四、確保前後回答在邏輯思考上的一致性，切忌自相矛盾；第五、作答時注意觀察口試委員的聆聽反應，右下角特別以粉色文字叮嚀「注意禮貌！」，處處展現教養與溝通智慧。
文件二_第66頁,這是一張面試指南系列的「PART 4 服裝儀容篇」指引圖卡，頂部標記數字「4」的立體鈴鐺十分醒目。下方以條列方式打破許多考生對面試穿著的迷思：第一、以「正式、乾淨、整齊、保有舒適度」為最重要原則；第二、鞋履建議著低跟鞋、平底鞋或包鞋，以醒目的紅色大叉叉警告「切忌運動鞋配西裝褲」的突兀混搭；第三、頭髮梳理乾淨維持清爽髮型，避免瀏海遮蔽眼睛；第四、女性考生若想要化妝，維持淡雅自然的淡妝即可，切忌濃妝艷抹；第五、服裝選擇乾淨整齊的襯衫上衣搭配長褲或及膝裙裝皆可，並特別用大紅叉標註「切勿刻意為了面試去花大錢購買昂貴套裝或洋裝」，做最自然得體的自己即可。
文件二_第67頁,這張圖卡是面試指南系列的完結篇「PART 5 模擬練習篇」，頂部的立體發光鈴鐺標記著數字「5」。下方條列出面試前最後衝刺的模擬演練要領：第一、在進行模擬面試時，建議直接穿著當天預計要穿的正式服裝以提前適應體感；第二、反覆演練自我介紹與就讀動機，直到能倒背如流且自然吐露；第三、學會自我放鬆心情；第四、嚴格控制每道題目的回答時間，練習將內容精煉在1分鐘至3分鐘內說完，避免冗長離題；第五、結束離開考場時切記向教授禮貌道謝，並注意輕聲關門的離場禮儀。左下方以亮色大字強調兩大核心：「增加熟悉感、降低緊張感」，為全體考生的最後衝刺給予最具體的教戰守則。
文件二_第68頁,這是一張慶賀全校招生大獲全勝的喜慶捷報海報。整張海報以深邃沉穩的深藍色印刷電路板與發光晶片線條為背景，頂部題寫著「城功在望 溪望無窮」的對仗雙關標語（巧妙融入城中校區與外雙溪校區名稱）。中央以極具視覺衝擊力的超大字體、散發著冰藍色霓虹光芒宣告核心榮耀：「本校113學年度學士班招生達成率 100%」！下方端正印有東吳大學校徽與中英文標準字校名。海報以100%全數滿招的亮眼數字，向全體社會大眾與高中學子展現出東吳大學在少子化浪潮下依然深獲家長與考生高度信任的強大辦學實力與超高人氣。
文件二_第69頁,這是一張手繪插畫風格極為精緻可愛的線上座談會活動主視覺海報。海報採用天藍色星空與五彩紙屑為底，中央堆疊著厚厚的大書本，書頂站著一位手持放大鏡探索世界的小男孩，周圍環繞著綠色草地、手拿筆記本的小女孩、揮手打招呼的可愛機器人與升空的紅色太空火箭。海報以醒目的紅底白字大標題宣告：「東吳資料科學系大哉問 線上QA互動座談暨學習歷程檔案準備指引」，下方以立體數字標註活動時間為「2025年3月15日（六）AM 09:30-11:00」，並附有「即日起開放報名」的紫色按鈕與專屬報名 QR Code，廣邀對大數據感興趣的學子與家長一同線上暢談。
文件二_第70頁,這張圖卡是前一張線上座談會海報的報名與連線專用版本。畫面中央延續可愛手繪大書本、探索世界的小朋友、綠地與AI機器人插畫，上方題寫著「東吳資料科學系大哉問 線上QA互動座談 學習歷程檔案準備指引」。海報下方清楚標明座談會時間為「2025年3月15日（六）AM 09:30-11:00」，並於底部整齊並排陳列了兩個高解析度二維碼：左邊是「掃描報名」專用的報名表單 QR Code，右邊則是活動當天直接進入視訊會議室的「線上座談會連結」專用 QR Code。雙二維碼的直觀設計讓考生既能提前完成登記，亦能在活動當天一鍵快速登入視訊會議聽講發問。
文件二_第71頁,這是一張以多張拍立得相片交疊拼貼為風格的「113學年度資料科學系專題實作成果發表會」精彩紀實圖卡。畫面四周散落著十餘張記錄當天學生在講台前簡報演講、展示大螢幕數據圖表、以及評審委員在台下專注聆聽的生動相片。畫面正中央是一張最醒目的大型拍立得照片：全體參賽學生與指導教授在階梯教室內歡樂大合照，前排四位核心師長（包含許院長與金院長）面帶燦爛笑容與身後的滿座學子一同比讚合影。照片下方以一顆紅心搭配文字標註：「113學年度資料科學系專題實作成果發表會」，完整記錄下資科系高年級學子將多年所學化為豐碩實戰成果、自信迎向成果檢驗的榮耀里程碑。
文件二_第72頁,這是一張記錄假日短期共創課程的雙格實況紀錄照片。左側畫面標註「假日共創學習合作短期課程」，展示了一位身穿深色休閒夾克內搭白T恤的男同學，正手持麥克風在講台大螢幕前簡報系統架構；右側畫面直條標註「互動聊天機器人」，展示了一位身穿白色毛呢外套的長髮女同學，正站在投影著粉紫色操作介面的螢幕前向台下學員進行實機對話功能演示。講桌下方有專注聽講的學員身影。整張照片記錄了資料科學系利用週末假日開辦的實務微課程，讓跨系所或無資訊背景的學生也能在短時間內透過手把手實戰，親自開發出屬於自己的AI互動聊天機器人，展現學院推動跨域微學習的實質成效。
文件二_第73頁,這是一張針對114學年度大學申請入學所製作的關鍵時程速查指南圖卡。版面以清爽的深藍與純白色塊劃分，頂部印有東吳大學校徽與資料科學系Logo，標題宣告「114學年度 申請入學」。下方以條列方塊清楚標記四大核心日程：第一階段為「3月20-21日 申請入學報名」；第二階段為「3月27日 申請入學第1階公布」；第三階段為「4月21日至5月06日 申請入學第2階段甄試報名（繳費）及審查資料繳交」；第四階段為「5月17-18日 申請入學第2階指定項目甄試（面試）」。底端附有藍色按鈕指引點閱東吳招生資訊網，為高三考生提供清晰明瞭的報名防漏日程備忘錄。
文件二_第74頁,這張圖卡是前一張申請入學時程表的下半部重要日程指南，聚焦於面試結束後的放榜與志願分發階段。頂部同樣標註東吳校徽與資科系徽，主題為「114學年度 申請入學」。下方條列出錄取後的關鍵三大日期節點：第一為「5月28日 東吳榜示」，公告校內甄試正備取結果；第二為「6月05-06日 錄取生登記就讀志願序」，提醒所有正備取考生務必至大學甄選入學委員會官網完成全國志願序登記；第三為「6月12日 公布最後統一分發結果」，決定最終錄取大學。底部同樣附有招生資訊網查詢引導，完整串聯起個人申請從報名、面試到最終放榜的全程時間軸。
文件二_第75頁,這是一張以復古電腦視窗為造型的「114學年度申請入學 招生簡章核心資訊」圖卡。畫面中央是一個灰白色的操作視窗，上方詳細列出資科系的官方招生數據：校系代碼為「005232」、一般生招生名額「65名」、性別要求「無」、預計甄試人數「195人」、原住民外加名額「3名」、指定項目甄試費「1000元」；並重申二階通訊通知寄發（114.3.27）、繳交資料截止（114.5.6）、指定項目甄試日期（114.5.17-5.18）及榜示日期（114.5.28）。視窗左右兩側分別放置了Facebook粉專與Instagram官方帳號的追蹤QR Code，底部附有招生網連結，將官方簡章精華高度濃縮於一頁之中。
文件二_第76頁,這是一張詳細剖析資料科學系在114學年度申請入學甄選標準與採計計分機制的官方表格圖卡。上方表格分為兩大階段：第一階段學測篩選科目與倍率，明定英文檢定為後標、數學B檢定為後標，篩選倍率為3倍；第二階段指定項目總成績採計方式，學測成績採計英文（*1.00）與數學B（*2.00）合計佔總成績35%，第二階段指定項目中「審查資料」佔總成績35%、「口試（面試）」佔總成績30%。下方特別以粗體字標註扶弱政策：本系提供低收入戶及中低收入戶考生擇優2名，於第二階段審查資料原始分數直接加分10%之優待措施，充分體現出學系重視數理邏輯、英文能力並落實教育平權之精神。
文件二_第77頁,這是一張針對114學年度申請入學「第二階段指定項目內容與評量指引」的官方公文表格圖卡。表格清楚列出：審查資料包含修課紀錄(A)、課程學習成果(C)、多元表現(F、I、J、K、N)及學習歷程自述(P)，並引導考生參閱有利審查資料指引以展現報考動機與追求新知之表現；面試說明段則明確揭示口試之三大評量向度：學生口語表達能力、邏輯思考及反應能力，以及對本系相關知識與發展的了解程度。最下方以醒目大字宣告超額篩選機制：「同級分(分數)超額篩選方式：學測英文、數學B之級分總和」，資訊極其公開透明，讓考生能精準鎖定準備方向。
文件三_第01頁,這張照片拍攝於東吳大學校園戶外廣場，記錄了校園大型迎新活動的熱鬧場景。畫面主角是一座由黑色專業鋼架桁架搭建而成的大型迎賓展示布條，布條採用象徵熱情活力的亮黃色為底色，頂部印有東吳大學「Unto A Full Grown Man」的精神徽章。布條正中央以巨大的黑色與立體灰色字體題寫著極具感染力的主題標語：「扎根第1哩 東吳歡迎你」，下方接續「第1哩新生定向輔導系列活動」。右側繪製了色彩繽紛的東吳大學立體地圖與林蔭步道插畫，底部標明贊助單位為富蘭克林坦伯頓基金。整個畫面充滿了校園對大一新鮮人的熱烈歡迎之情，展現出一所百年學府溫暖且制度健全的新生輔導傳統。
文件三_第02頁,這是一張隆重慶祝碩士在職專班學術榮譽的得獎賀報海報。海報上方以閃耀奪目的金色桂冠與深紅緞帶大勳章為視覺核心，上方以粗體字宣告身分：「碩士在職專班」，中央以極大號的黑色粗體字隆重宣布得獎者：「賀 吳金容同學」。海報中段清楚標註「指導教授：吳政隆老師」，下半部則在金光璀璨的金色弧形背景襯托下，以莊嚴大器的深藍色字體宣告獲獎項目：榮獲陳永泰公益信託「2024傳善論文獎」。周圍點綴著飄落的金色五彩碎紙，整張海報不僅是對吳金容同學在職半工半讀仍能產出頂尖學術論文的崇高表彰，也充分展現出吳政隆教授在指導研究生將實務與學術完美結合上的深厚功力。
文件三_第03頁,這是一張表彰大學部學生科研實力頂尖的國科會得獎賀報海報。海報頂部印有巨資學院資料科學系的官方標誌，中央鑲嵌著金碧輝煌的立體桂冠勳章與大字「賀」。海報正中以醒目大字表揚得獎同學：「葉星彤同學」，並標註「指導教授：金凱儀教授」。下方在流金質感的金色波紋背景上，以大器沉穩的深藍色字體宣告其所獲得之國家級至高榮譽：榮獲國科會112年度大專學生研究計畫「研究創作獎」！這項由國家科學及技術委員會頒發的獎項是全台大專學生研究計畫中極少數表現最優異者方能獲頒的殊榮，海報具體彰顯出金凱儀院長在培育大學部專題生進行前沿學術創新上的卓越領導力與教學成就。
文件三_第04頁,這是一張表彰校內優良師資的榮譽賀報海報。整張海報採用典雅高貴的金色邊框與純白大理石紋理底圖，頂部為資料科學系標誌。中央以立體浮雕金色桂冠、紅緞帶與大字「賀」作為榮耀圖騰，下方以粗體大字隆重表彰獲獎教師：「蘇明祥老師」。海報中段以金色字體宣布獲獎名稱：「榮獲本校112學年度」，底部則嵌有一枚金光閃閃的長橢圓形金屬銘牌，銘牌上以深色粗體字宣告獎項為「績優導師獎」。這座獎項體現了全校師生對蘇明祥副教授在學生生活輔導、課業引導與心靈陪伴上長年無私奉獻的高度讚譽，展現出資科系專任教師不僅學術精湛，更深具仁心仁術的優良師德。
文件三_第05頁,這是一張表揚熱心輔導學生的導師榮譽賀報海報。海報延續統一的高規格尊榮設計，以金色巴洛克圖騰外框搭配白底金光，上方印有巨資學院資料科學系官方Logo。正中央為金色麥穗桂冠與鮮紅緞帶勳章，下方以沉穩的深藍色粗體大字題寫：「蘇維宗老師」。中段標明「榮獲本校112學年度」，底部的立體金色金屬圓角標牌內，以剛勁字體銘刻著榮譽稱號：「熱心導師獎」。這項殊榮表彰了蘇維宗助理教授在擔任班級導師期間，熱心傾聽學生心聲、積極協助排解生活疑難雜症、並為學子提供全面職涯指引的熱忱付出，生動體現了東吳校園重視師生互動、全人教育的溫暖核心精神。
文件三_第06頁,這是一張表彰專任教師關懷學生、春風化雨的榮譽賀報海報。版面以典雅純淨的白色為基底，四周環繞著精緻細膩的金色花紋邊框，頂部端正印有巨量資料管理學院資料科學系的英文與中文系徽。中央是一枚象徵卓越成就的金黃色桂冠勳章，下方以深邃醒目的深藍色大字恭賀：「丁德天老師」。海報中段標示「榮獲本校112學年度」，底端鑲嵌有一塊散發著金屬光澤的長圓形立體金牌，上方以深色粗體字宣告榮獲「熱心導師獎」。這座獎項具體肯定了丁德天助理教授在繁重的醫學大數據研究之外，始終抱持極大熱忱投入班級導師工作、悉心關懷每一位學生身心健全發展的卓越奉獻。
文件三_第07頁,這是一張恭賀學生通過國家級科研專案的榮譽賀報海報。海報上方鑲嵌著象徵學術勝利的金色麥穗勳章與大字「賀」，右側以紅色大字宣布重大喜訊：「資料科學系通過 113年度國科會 大專學生研究計畫」。海報中央以大字題寫通過審查的優秀同學姓名：「徐澍萬同學」，並清楚標註「指導教授：金凱儀」。下方詳細條列出該項獲國科會全額經費補助之專案研究題目：「物聯網程式設計教育：穿戴式擴增實境系統對大學生學習成效與認知負荷之影響探究」。整張海報充分展現出巨資學院在金凱儀院長的引領下，成功將穿戴式AR技術、教育科技與物聯網大數據深度結合，培育出具備獨立執行國家級專案研究實力之卓越學士生。
文件三_第08頁,這是一張表彰學生在智慧交通領域通過國家級科研計畫的喜慶賀報。頂部飾有金色立體獎章與紅緞帶，右上方宣告「資料科學系通過 113年度國科會 大專學生研究計畫」。畫面正中央表揚獲獎學子：「楊沛潔同學」，並標記「指導教授：呂明穎」。海報下方清楚列出該項獲官方審查通過的專題計畫名稱：「以沉浸式虛擬實境進行年長者交通安全宣導之研究：不同聽覺音效的干擾效果」。該計畫創新性地利用沉浸式VR技術模擬真實路況，深入研究聽覺干擾對高齡長者過馬路時的認知與反應機制，這張海報具體印證了呂明穎副教授在指導學生將人機互動、虛擬實境與社會高齡關懷實證結合上的傑出教學成效。
文件三_第09頁,這是一張表揚學生在長照數位轉型領域榮獲國家級科研補助的得獎賀報。海報頂部為金色桂冠勳章與大字「賀」，上方題寫「資料科學系通過 113年度國科會 大專學生研究計畫」。中央以黑色大字題寫獲通過學生姓名：「李玥萱同學」，並註明「指導教授：李家萱」。海報下半部詳細載明通過審查的研究計畫名稱：「長樂溝通：建立數位轉型平台，促進台灣長照服務的連結與協作」。該研究深刻切合台灣邁入超高齡社會的長期照護痛點，致力於透過雲端大數據平台串接分散的照護資源，這張賀報具體展現了李家萱老師引導學生運用資料科學專業回饋社會、投身銀髮數位照護之深厚人文關懷。
文件三_第10頁,這張照片記錄了許晉雄教授在階梯演講廳內親自講授數據分析實務的熱烈場景。畫面右側，許教授身穿休閒的深藍色短袖POLO衫配黑色長褲，左手拿著有線麥克風，身體面向台下學員正娓娓道來搜尋引擎後端機制的演化；講桌左側坐著一位戴著藍色醫用口罩的專任教師，正專注地在微星高階筆記型電腦上輔助監控操作演示。兩人身後巨大的投影布幕上，正全螢幕投射出 Google 搜尋引擎的首頁介面與程式碼搜尋實例。木質演講桌與暖色調的木紋牆面營造出厚重溫暖的學術講堂氛圍，照片生動記錄下資深學者引領學員從最日常的搜尋行為出發、逐步拆解其背後複雜巨量資料檢索機制的專業教學風采。
文件三_第11頁,這張照片從講堂中後排的廣角視角，完整展現了許晉雄教授課堂上的壯觀全景。在配有典雅弧形木質護牆板的階梯會議廳內，大約二、三十位學員整齊地分散端坐在磚紅色的課桌椅上，幾乎所有人都隨身攜帶了筆記型電腦，桌上杯光水影，學員們或低頭敲擊鍵盤，或抬頭凝視講台。講台上方吊掛著高解析度投影機，投影片展示著多維度數據交叉表與演算法流程；許教授站在前台手持麥克風親切指引操作。整間階梯教室採光明朗，天花板上的方形嵌燈整齊排列，整個畫面生動呈現出一所高水準大學在大數據實務培訓課堂上所具備的專注、安靜且充滿求知欲的優質學習氛圍。
文件三_第12頁,這張照片捕捉了學員在階梯教室內跟隨講師深入探索雲端運算環境的實作畫面。畫面視角自學員座位的正後方往前拍攝，前景多位學員的筆記型電腦螢幕亮著，大家正同步在本地端瀏覽器中開啟並配置著數據科學領域最廣泛使用的 Jupyter Notebook 開發介面。講台大螢幕上同步將 Jupyter 的檔案目錄、Python 程式核心與終端機指令以高對比度清晰投射出來，講台前助教戴著口罩端坐電腦前隨時給予技術支援。整張照片記錄了資料科學系在課程設計上極為強調的「一人一機、同步演練」實戰精神，確保每一位學員都能在課堂上親手排除環境建置障礙，紮實累積程式碼編寫經驗。
文件三_第13頁,這張照片記錄了一位女性專任教師在講堂前向滿場學員講授專案數據分析架構的實況。在木紋階梯會議廳內，女老師戴著眼鏡端坐在講台右側的講師席上，對著鵝頸麥克風清晰解說。她身後的大型投影布幕上展示著一張極其複雜且條理分明的多層次流程分析架構圖，投影片上方清楚標示著人力資源數據與決策維度的邏輯關聯，下方以表格與流程圖詳述分析步驟。台下各排階梯座位上的男女學員全神貫注地凝視著螢幕推演，不少同學一邊聆聽一邊在手邊的筆電上做標註。整間教室瀰漫著理性思辨與高階數據分析的濃厚研討氛圍，展現出碩士級課程專注於解決複雜管理問題的學術深度。
文件三_第14頁,這是一張極具代入感的階梯教室課堂局部特寫照片。畫面焦點集中在坐在講堂中排的幾位學員：右前景一位身穿簡約白T恤、胸前印有藍色花卉與「Mardi」字樣的女同學正微微低著頭，眼神專注地凝視著面前銀色 MacBook 筆電螢幕上的分析代碼；她身旁一位身穿黑色長袖上衣的女同學同樣專心致志地敲擊鍵盤，左側穿著淺綠色休閒外套的女學員則端著外帶咖啡杯若有所思。後排各座位的男女學員亦無一例外地專心投入於各自的螢幕前。這張照片細膩刻畫出當代大學生在數位化學習環境中的真實日常，每位學子全神貫注的神情充分彰顯出課堂內容的緊湊充實與強大的吸引力。
文件三_第15頁,這張照片展示了一位助教在講台上為全班示範搭建機器學習開發環境的特寫場景。講台大螢幕上投射出廣受數據分析師與工程師青睞的「Anaconda Navigator」圖形化套件管理導航介面，螢幕上清晰顯示出 JupyterLab、VS Code、Spyder、AWS及各類機器學習套件的綠色啟動圖標。講桌後方，一位戴著淺藍色防護口罩、身穿綠色T恤與卡其短褲的青年助教正坐在椅子上，右手搭在微星筆電鍵盤上進行即時系統操作，他神情沉著專注，隨時監看系統套件相依性與環境變數之配置情形。這張照片生動體現了資科系在技術課程中注重引導學生掌握標準業界開發工具鏈的嚴謹教學態度。
文件三_第16頁,這張照片記錄了一位優秀學員站上講台進行課堂專案口頭成果發表的自信身影。在裝潢雅緻的木質階梯演講廳內，一位頭戴黑色「NY」經典棒球帽、身穿純白短袖T恤與休閒牛仔褲的年輕男同學正坐在講台側邊的高腳椅上，右手緊握麥克風，神情沉著流利地面對全場師生發表報告。身後大螢幕上正展示著取材自林素菁老師簡報的「解讀資料的面向」分析投影片，投影片以醒目的數據表格對比了石岡壩與日月潭的水庫蓄水量、上升比例與絕對增量數值，並展示了多個維度的百分比圓餅圖與小提琴圖。講桌另一側一位女學員正專注協助切換簡報，整張照片展現出學生兼具數據洞察與優秀公眾口語表達的綜合實力。
文件三_第17頁,這是一張由東吳大學巨量資料管理學院資料科學系主辦的「113學年度人工智慧應用工作坊：你需要知道的人工智慧」官方招生宣傳海報。版面以清爽的白底搭配溫暖橘黃色幾何色塊，主標題字體鮮明大器。海報詳列工作坊資訊：研習日期為113年9月1日、9月8日、10月27日及11月3日，共計四個週日（10:00-13:00），地點在東吳大學城中校區；特別邀請新加坡 KYC GLOBAL 執行長、東吳巨資兼任副教授周光宇老師親自蒞臨主講，對象優先保留給本系碩專班學生報名。右下角配有一幅手握發光晶片、周圍環繞著「Machine Learning」、齒輪、大腦與人際網絡的深藍色科技概念圖，並附有立即掃描報名的專屬二維碼。
文件三_第18頁,這是一張充滿夏日度假悠閒風情的系辦暑假行政服務時間公告海報。海報採用天藍色的立體白雲框為背景，中央展示了一幅極具夏日風情的立體手繪插畫：一張藍白條紋的遮陽躺椅、插在黃色沙灘上的椰子、一顆破開插著吸管的清涼椰子水、黃白相間的救生圈、擺放著太陽眼鏡的亮橘色行李箱、一顆地球儀、飛馳的小飛機以及一隻爬在沙灘上的紅色小螃蟹。上方清楚標示巨資學院暑假服務時間為「星期一至星期四，上午08:30-12:00，下午13:00-16:00」，並以醒目的紅字發光文字特別提醒：「7/15至7/24全校連續休假」，版面清新可愛，在炎炎夏日中為大家送上一抹清涼。
